amine_name,smiles,viscosity
pyridin-4-amine,C1=CN=CC=C1N,0.002914558
2-aminoethanol,C(CO)N,0.002589459
aniline,C1=CC=C(C=C1)N,0.002941171
"ethane-1,2-diamine",C(CN)N,0.002446393
3-chloroprop-2-en-1-amine,C(C=CCl)N,0.002886247
2-(fluoromethoxy)ethanamine,C(COCF)N,0.002785832
2-chloro-2-fluoroethanamine,C(C(F)Cl)N,0.003419382
"3,4-dihydro-2H-pyran-4-amine",C1COC=CC1N,0.002516186
"3-methylbuta-1,3-dien-1-amine",CC(=C)C=CN,0.002517892
1-(fluoromethyl)cyclopropan-1-amine,C1CC1(CF)N,0.003018008
2-oxabicyclo[2.1.1]hexan-4-amine,C1C2CC1(CO2)N,0.002436262
"4-methylpenta-1,3-dien-1-amine",CC(=CC=CN)C,0.00219786
3-azabicyclo[3.1.0]hex-2-en-2-amine,C1C2C1C(=NC2)N,0.002578628
4-methylpent-3-en-2-amine,CC(C=C(C)C)N,0.0021271
"hexa-1,5-dien-3-amine",C=CCC(C=C)N,0.0024112
1-fluorobut-3-en-2-amine,C=CC(CF)N,0.002766173
"cyclopenta-1,4-dien-1-amine",C1C=CC(=C1)N,0.002746545
hex-5-en-1-yn-3-amine,C=CCC(C#C)N,0.002675966
"2,3-dihydropyridin-2-amine",C1C=CC=NC1N,0.002652103
2-methylidenebut-3-en-1-amine,C=CC(=C)CN,0.002517892
3-methylcyclopent-3-en-1-amine,CC1=CCC(C1)N,0.002470399
"2,3,4,5-tetrahydropyridin-2-amine",C1CC=NC(C1)N,0.002500747
but-1-en-1-amine,CCC=CN,0.002514553
3-fluoroprop-2-en-1-amine,C(C=CF)N,0.002743172
6H-oxazin-3-amine,C1C=CC(=NO1)N,0.003278364
2-iminocyclopentan-1-amine,C1CC(C(=N)C1)N,0.002780422
3-fluoroprop-1-en-2-amine,C=C(CF)N,0.002877187
3-fluoroprop-2-yn-1-amine,C(C#CF)N,0.003318973
2-iminoimidazol-4-amine,C1=NC(=N)N=C1N,0.003315017
3-fluorobutan-2-amine,CC(C(C)F)N,0.002471793
4-fluorobut-2-yn-1-amine,C(C#CCF)N,0.002970861
"2,5-dihydropyrimidin-2-amine",C1C=NC(N=C1)N,0.003066021
"4,5-dihydropyridazin-3-amine",C1CC(=NN=C1)N,0.002915702
3-fluoro-2-methylprop-2-en-1-amine,CC(=CF)CN,0.002760923
2-methylcyclopent-2-en-1-amine,CC1=CCCC1N,0.002359686
2-fluoro-3-iminopropan-1-amine,C(C(C=N)F)N,0.00293499
"3,3-difluoroprop-1-en-2-amine",C=C(C(F)F)N,0.003241531
1-fluoro-2-methylprop-1-en-1-amine,CC(=C(N)F)C,0.002578148
4-fluorobut-3-en-2-amine,CC(C=CF)N,0.002639278
4-iminobutan-1-amine,C(CC=N)CN,0.002453605
"2-methyl-1,3-oxazol-4-amine",CC1=NC(=CO1)N,0.00327089
"4-methyl-1,3-oxazol-5-amine",CC1=C(OC=N1)N,0.003161694
bicyclo[1.1.1]pentan-2-amine,C1C2CC1C2N,0.002330288
"2-methyl-1,3-oxazol-5-amine",CC1=NC=C(O1)N,0.003268182
"3,3-dimethylcyclobutan-1-amine",CC1(CC(C1)N)C,0.002292173
"1,2,4-oxadiazol-3-ylmethanamine",C1=NC(=NO1)CN,0.003489703
hex-5-yn-3-amine,CCC(CC#C)N,0.002454827
1-(aminomethyl)cyclopropan-1-amine,C1CC1(CN)N,0.002676437
1-cyclopropylprop-2-yn-1-amine,C#CC(C1CC1)N,0.002803043
2-methyloxetan-3-amine,CC1C(CO1)N,0.002864883
3-methylcyclobutan-1-amine,CC1CC(C1)N,0.00262933
spiro[2.3]hexan-2-amine,C1CC2(C1)CC2N,0.002353124
