amine_name,smiles,viscosity
N-ethyl-2-methylprop-1-en-1-amine,CCNC=C(C)C,0.002391654
"1,4-dihydropyridin-2-amine",C1C=CNC(=C1)N,0.002802727
"1,4-dihydropyridin-4-amine",C1=CNC=CC1N,0.002698549
"1,4-dihydropyridin-3-amine",C1C=CNC=C1N,0.002698549
N-methylpent-2-yn-1-amine,CCC#CCNC,0.002735328
N-methoxyprop-2-en-1-amine,CONCC=C,0.002872182
"1-(hydroxyamino)ethane-1,1-diol",CC(NO)(O)O,0.003081978
"1,4-dihydropyrimidin-2-amine",C1C=CNC(=N1)N,0.002994186
N-(methylideneamino)but-3-en-1-amine,C=CCCNN=C,0.002832284
"1,3-dihydro-1,2,4-triazol-2-amine",C1N=CNN1N,0.003119691
N-methoxyethenamine,CONC=C,0.002999751
"N,1-dimethylcyclopropan-1-amine",CC1(CC1)NC,0.002505707
1-fluoro-N-methylpropan-2-amine,CC(CF)NC,0.002615133
"1,2,3,4-tetrahydropyridin-6-amine",C1CC=C(NC1)N,0.002645309
N-ethylbut-3-en-2-amine,CCNC(C)C=C,0.002388746
N-ethylbut-2-yn-1-amine,CCNCC#CC,0.002735328
"2,5-dihydro-1,2,4-oxadiazol-5-amine",C1=NC(ON1)N,0.003471614
N-(methylideneamino)prop-1-en-2-amine,CC(=C)NN=C,0.002818627
N-ethylprop-1-en-2-amine,CCNC(=C)C,0.002385065
"N-methylcyclopenta-1,3-dien-1-amine",CNC1=CC=CC1,0.002584941
N-ethoxyprop-2-yn-1-amine,CCONCC#C,0.003124941
1H-pyrazol-2-ium-2-amine,C1=CN[N+](=C1)N,0.003372942
N-methylpent-3-yn-2-amine,CC#CC(C)NC,0.002629639
2H-triazol-1-ium-1-amine,C1=NN[N+](=C1)N,0.003665951
N-methylazetidin-3-amine,CNC1CNC1,0.002787319
N-propylcyclopropanamine,CCCNC1CC1,0.002577255
N-methylbut-3-yn-1-amine,CNCCC#C,0.002816607
"N-methyl-1,2-oxazol-3-amine",CNC1=NOC=C1,0.003153887
1-cyclopropyl-N-methylethanamine,CC(C1CC1)NC,0.002373052
N-methylbut-3-en-2-amine,CC(C=C)NC,0.002290783
N-methyl-1-(1-methylcyclopropyl)methanamine,CC1(CC1)CNC,0.002496858
2-cyclopropyl-N-methylethanamine,CNCCC1CC1,0.002590763
N-methylbicyclo[1.1.1]pentan-1-amine,CNC12CC(C1)C2,0.002255785
N-ethyl-1-methylcyclopropan-1-amine,CCNC1(CC1)C,0.002477945
N-prop-2-ynylcyclopropanamine,C#CCNC1CC1,0.003053348
3-azabicyclo[3.1.0]hexan-1-amine,C1C2C1(CNC2)N,0.002318661
N-methylimidazolidin-2-imine,CN=C1NCCN1,0.003061733
5-methyl-1H-pyrrol-2-amine,CC1=CC=C(N1)N,0.003002713
N-methylpyrrol-1-amine,CNN1C=CC=C1,0.002798115
"1,4,5,6-tetrahydropyrimidin-5-amine",C1C(CN=CN1)N,0.0026242
"1,2,5,6-tetrahydropyrimidin-4-amine",C1CNCN=C1N,0.002611998
N-ethylbut-3-yn-2-amine,CCNC(C)C#C,0.002629639
N-methyl-3-methylidenecyclobutan-1-amine,CNC1CC(=C)C1,0.002637024
N-methyl-1-(2-methylcyclopropyl)methanamine,CC1CC1CNC,0.002590763
1-hydrazinylpropan-2-amine,CC(CNN)N,0.002502373
"N,3-dimethylbut-3-en-1-amine",CC(=C)CCNC,0.002402296
"1,2-dihydropyridin-5-amine",C1C=CC(=CN1)N,0.002919291
4-methyl-1H-pyrrol-2-amine,CC1=CNC(=C1)N,0.003010219
"N,2,2-trimethylcyclopropan-1-amine",CC1(CC1NC)C,0.002305207
"N'-methoxyethane-1,2-diamine",CONCCN,0.00300345
5-methyl-1H-pyrrol-3-amine,CC1=CC(=CN1)N,0.003010219
N-ethylbut-3-en-1-amine,CCNCCC=C,0.002477862
"N,3-dimethylbut-3-en-2-amine",CC(C(=C)C)NC,0.002217406
"N,2-dimethylbut-3-yn-1-amine",CC(CNC)C#C,0.0024662
5-azaspiro[2.3]hexan-2-amine,C1C(C12CNC2)N,0.002326154
"N,2-dimethylcyclopropan-1-amine",CC1CC1NC,0.00262275
"5-methyl-4,5-dihydro-1H-imidazol-2-amine",CC1CN=C(N1)N,0.002814472
N-methylpyrrolidin-2-imine,CN=C1CCCN1,0.002774629
"2,3-dihydro-1H-1,2,4-triazol-5-amine",C1NNC(=N1)N,0.00324202
N-but-3-ynylhydroxylamine,C#CCCNO,0.003262632
N-methylpent-4-yn-2-amine,CC(CC#C)NC,0.002454827
,CCNCC=C=C,0.002543705
(methoxyamino)oxyethane,CCONOC,0.003153182
"4-imino-1,5-dihydropyrazol-5-amine",C1=NNC(C1=N)N,0.003185584
N-(1H-imidazol-5-yl)hydroxylamine,C1=C(NC=N1)NO,0.003619841
N-(2-chloroethyl)hydroxylamine,C(CCl)NO,0.003293723
"5-amino-1,5-dihydropyrazol-4-one",C1=NNC(C1=O)N,0.003215541
N-ethenylprop-2-yn-1-amine,C=CNCC#C,0.002957066
N-prop-2-ynylprop-1-yn-1-amine,CC#CNCC#C,0.003209737
imidazolidin-4-amine,C1C(NCN1)N,0.003001425
N-methylcyclopent-3-en-1-amine,CNC1CC=CC1,0.002370253
N-methylbut-2-en-1-amine,CC=CCNC,0.002496741
,C(NC[Si])[Si],0.001927185
"N,2-dimethylbut-3-en-2-amine",CC(C)(C=C)NC,0.002223104
N-prop-2-enylprop-1-en-1-amine,CC=CNCC=C,0.002578811
N-(ethylideneamino)prop-2-en-1-amine,CC=NNCC=C,0.00284244
N-methylpent-4-yn-1-amine,CNCCCC#C,0.002735328
"1,4-dihydropyridazin-6-amine",C1C=C(NN=C1)N,0.002994186
N-ethylbut-3-yn-1-amine,CCNCCC#C,0.002735328
"N,1-dimethylcyclobutan-1-amine",CC1(CCC1)NC,0.002375034
"N,3-dimethylcyclobutan-1-amine",CC1CC(C1)NC,0.002582459
"N,2-dimethylcyclobutan-1-amine",CC1CCC1NC,0.002476182
2H-oxadiazin-5-amine,C1=C(C=NNO1)N,0.003354456
